artist,year,occurrences,title
Kings of Leon,2008,527922,I Want You
Justin Bieber,2010,217064,Baby
The Postal Service,2003,136836,Sleeping In
Modest Mouse,2004,130117,Ocean Breathes Salty
Kid Cudi,2009,120653,Alive (nightmare)
Lady Gaga,2010,111616,Starstruck
Miss May I,2010,111596,Gears
Metric,2009,98242,Front Row
A Day to Remember,2009,97610,You Already Know What You Are
Depeche Mode,1990,91461,Halo
Katherine Jenkins,2012,91448,Bring Me To Life
John Mayer,2010,87745,Heartbreak Warfare
Sabaton,2010,87270,Firestorm
The Black Keys,2010,86199,The Only One
Jack Johnson,2001,78651,Drink The Water
The Barden Bellas,2012,78443,Party In The U.S.A.
The Verve,1999,76893,Bitter Sweet Symphony
Plain White T's,2006,72960,Figure It Out
Bon Iver,2007,72263,Team
David Guetta,2009,72259,Sexy Bitch
Fleet Foxes,2008,67475,Blue Ridge Mountains
The Black Keys,2002,64380,Breaks
Owl City,2014,63937,Vanilla Twilight
The Prodigy,2009,63821,Run With the Wolves
Coldplay,2012,62504,Lost!
Black Eyed Peas,2014,62438,Imma Be
Eminem,2002,61069,Curtains Close
Dr. Dre,1999,59668,Housewife
Edward Sharpe & The Magnetic Zeros,2009,59642,Black Water
Metallica,1984,59105,Fade To Black (Remastered)
Justice,2007,55759,Newjack
Evanescence,2014,55655,My Immortal
Radiohead,1996,54852,You
Third Eye Blind,2005,54149,Never Let You Go
The Temper Trap,2009,52664,Down River
Enya,1987,52647,March Of The Celts
Ice Cube,2014,52472,It Was A Good Day
Vampire Weekend,2010,52285,I Think Ur a Contra
Eminem,1999,51608,As the World Turns
Beirut,2007,50179,Nantes
Arctic Monkeys,2006,49655,Chun Li's Spinning Bird Kick
Crystal Castles,2008,48853,1991
The Black Keys,2006,48513,When The Lights Go Out
Arcade Fire,2005,48235,Old Flame
Florence + the Machine,2010,48042,Rabbit Heart (Raise It Up)
Weezer,1994,46325,Surf Wax America
Rise Against,2012,46156,Anywhere But Here
Foals,2008,45258,Tron
Gorillaz,2010,45236,Feel Good Inc.
Shakira,2001,45054,Tú
The Octopus Project,2005,43111,Bruise
Arcade Fire,2007,42805,Black Wave/Bad Vibrations
Florence + the Machine,2009,42448,Howl
Metric,2010,42230,Help I'm Alive
Lily Allen,2009,41839,Mr Blue Sky
The Avett Brothers,2009,41258,Incomplete And Insecure
The Black Keys,2004,41000,Aeroplane Blues
Guns N' Roses,2004,40702,Yesterdays
Muse,2001,40675,Map Of Your Head
Boys Noize,2007,39852,Deny Selected
The Smiths,1987,39355,Death at One's Elbow
Pixies,2005,39282,Debaser
A Perfect Circle,2013,38511,Fiddle and the Drum
Bon Iver,2009,38477,Beach Baby
Coldplay,2005,38428,Square One
Rise Against,2006,38262,Bricks
Kings of Leon,2003,37874,Genius
The Black Keys,2008,37749,Remember When (Side A)
The Killers,2008,37487,This Is Your Life
Korn,2012,37341,Word Up!
Coldplay,2002,36305,Daylight
Timbaland,2007,36203,Give It To Me
She & Him,2008,35937,I Should Have Known Better
Eddie Vedder,2007,35630,Society
deadmau5,2009,35239,Strobe (Radio Edit)
The New Pornographers,2003,35210,Testament to Youth in Verse
Cut Copy,2008,34971,Voices in Quartz
Phoenix,2006,34676,Napoleon Says (Live)
The Lonely Island,2009,34600,Ras Trent
Creedence Clearwater Revival,2005,34561,Up Around the Bend
Colbie Caillat,2009,34323,Break Through
Beirut,2010,34268,The Penalty
Daft Punk,2001,34249,Voyager
Owl City,2009,33761,Hot Air Balloon
AFI,2006,33530,The Killing Lights
The New Pornographers,2007,33381,The Spirit Of Giving
The Black Keys,2014,33178,All Hands Against His Own
Iron & Wine,2007,33057,Kingdom of the Animals
Guns N' Roses,1991,32750,Shotgun Blues
Faith No More,2011,32409,The Cowboy Song
Feist,2007,32405,1234
Cage the Elephant,2009,32021,Free Love
Bungle,2007,31672,Down To Earth
The Smiths,1984,31627,Pretty Girls Make Graves
Amy Winehouse,2003,31062,Fuck Me Pumps
Taylor Swift,2014,30905,Shake It Off
Girl Talk,2006,30782,Minute by Minute
John Mayer,2012,30740,Clarity
Kelly Clarkson,2009,30567,If No One Will Listen
The Mamas & the Papas,2011,30280,California Dreamin'
Passion Pit,2009,30076,Sleepyhead
Taylor Swift,2008,30063,Untouchable
Luke Bryan,2009,30000,Do I
John Mayer,2001,29902,Stop This Train
The Decemberists,2003,29730,The Bachelor and the Bride
The Police,1993,29659,Peanuts
Infected Mushroom,2003,29221,Deeply Disturbed (Edit)
Flying Lotus,2008,29062,Sleepy Dinosaur
Andrew Bird,2009,28793,Effigy
Local Natives,2010,28738,Cards & Quarters
Nine Inch Nails,1999,28687,Please
Max Richter,2004,28282,Iconography
Metallica,2008,27918,My Apocalypse
The Shins,2007,27871,Australia
Jack Johnson,2003,27783,Mediocre Bad Guys
Beirut,2006,27703,Scenic World (Version)
Interpol,2004,27639,Next Exit
Gorillaz,2005,27519,All Alone
Chevelle,1999,27460,MIA
Daft Punk,2005,27388,The Brainwasher
Four Tet,2001,27326,Tangle
Yeah Yeah Yeahs,2009,27139,Modern Romance
Fleet Foxes,2009,27085,He Doesn't Know Why
Thrice,2003,26995,Hoods On Peregrine
We the Kings,2007,26828,Headlines Read Out...
Pixies,1990,26767,Blown Away
Joshua Radin,2006,26710,Sundrenched World
LCD Soundsystem,2007,26684,Us V Them (Any Color U Like Remix By Windsurf)
Snow Patrol,2009,26664,Open Your Eyes
Jimmy Eat World,2001,26655,Sweetness
Lady Gaga,2009,26535,Just Dance
The Kills,2008,26338,Hook and Line
Slim Thug,2005,26205,Like A Boss
Lykke Li,2008,26147,Time Flies
LCD Soundsystem,2010,26109,Oh You (Christmas Blues)
Bullet for My Valentine,2008,25967,Eye of the Storm
Air,2004,25458,Venus
Toro y Moi,2010,25438,Fax Shadow
Sigur Rós,2005,25369,Mílanó
Radiohead,2007,25228,House of Cards
