occurences,year,artist
1,1968,France Gall
1,1970,Black Sabbath
1,1970,Brigitte Fontaine
1,1970,Elton John
1,1972,Jackson Browne
1,1973,Mahavishnu Orchestra
1,1973,The Beatles
1,1973,The Rolling Stones
1,1973,Yes
1,1976,Blue \u00d6yster Cult
1,1978,Peter Gabriel
1,1980,Laraaji
1,1981,Rush
1,1982,Neil Young
1,1982,Ornette Coleman
1,1987,Black Flag
1,1987,Gipsy Kings
1,1988,Bon Jovi
1,1988,Journey
1,1989,Cowboy Junkies
1,1990,Anne Clark
1,1990,GWAR
1,1990,Quicksand
1,1991,808 State
1,1991,Corrosion of Conformity
1,1991,Death
1,1991,Heathen
1,1991,Skinny Puppy
1,1991,Swimming The Nile
1,1992,Daisy Chainsaw
1,1992,Godflesh
1,1992,Vital Remains
1,1992,Ziggy Marley & The Melody Makers
1,1993,Rush
1,1994,Derek and the Dominos
1,1994,Napalm Death
1,1994,Rancid
1,1994,Running Wild
1,1994,Toadies
1,1995,Brujeria
1,1995,Kitaro
1,1996,Empyrium
1,1996,Le Click
1,1996,The Wrens
1,1997,Alpha
1,1997,Dead Boys
1,1997,Papas Fritas
1,1997,The Chemical Brothers
1,1997,The Jam
1,1998,Caesars
1,1998,Dark Funeral
1,1998,Elend
1,1998,G\u00e9rard Lenorman
1,1998,Painkiller
1,1998,U2
1,1999,Covenant
1,1999,Pennywise
1,1999,Pet Shop Boys
1,1999,Queen
1,2000,Aaron Tippin
1,2000,Bright Eyes
1,2000,Lynyrd Skynyrd
1,2000,Plazma
1,2000,Silentium
1,2000,Spin Doctors
1,2000,Tegan and Sara
1,2000,The Jackson 5
1,2000,Travis
1,2001,...And You Will Know Us by the Trail of Dead
1,2001,Atjazz
1,2001,Clawfinger
1,2001,D12
1,2001,Isis
1,2001,Kamelot
1,2001,\u00dcnloco
1,2002,30 Seconds to Mars
1,2002,Big D And The Kids Table
1,2002,Fleetwood Mac
1,2002,Layo & Bushwacka!
1,2002,Lionel Richie
1,2002,Michael Andrews
1,2002,Oingo Boingo
1,2002,Pet Shop Boys
1,2002,Ramones
1,2002,Soft Machine
1,2002,The Shamen
1,2002,Thomas Dybdahl
1,2002,Venom
1,2003,Cave In
1,2003,Counting Crows
1,2003,R.E.M.
1,2003,Sam Cooke
1,2003,The Books
1,2003,The Cars
1,2003,The Chemical Brothers
1,2004,CocoRosie
1,2004,Dani Siciliano
1,2004,Deaf Center
1,2004,Esoteric
1,2004,Jay-Jay Johanson
1,2004,Marissa Nadler
1,2004,The Lovin' Spoonful
1,2004,Ying Yang Twins
1,2005,Alkaline Trio
1,2005,Atrium Carceri
1,2005,Death in Vegas
1,2005,Falconer
1,2005,Fettes Brot
1,2005,Gipsy Kings
1,2005,Gripin
1,2005,Hammock
1,2006,A Hawk and a Hacksaw
1,2006,Antony Parviainen
1,2006,B. Fleischmann
1,2006,Deutsch Nepal
1,2006,Esbj\u00f6rn Svensson Trio
1,2006,Ewun
1,2006,Holly Brook
1,2006,Jakob
1,2006,Josh Groban
1,2006,Kasia Stankiewicz
1,2006,Loreena McKennitt
1,2006,Paul Oakenfold
1,2006,SuidAkrA
1,2006,The Holloways
1,2007,Beherit
1,2007,Dirty Elegance
1,2007,Francis Cabrel
1,2007,From The Shallows
1,2007,Karmella's Game
1,2007,Kenny Chesney
1,2007,Martin Buttrich
1,2007,Matteah Baim
1,2007,Paprika Korps
1,2007,Pendulum
1,2007,Rebelution
1,2007,Ringo Starr
1,2007,Stan Getz
1,2007,Tiamat
1,2007,Yes
1,2007,Yuksek
1,2007,\u30b9\u30c8\u30ec\u30a4\u30c6\u30ca\u30fc
1,2008,Alicia Keys
1,2008,Architects
1,2008,Eliane Elias
1,2008,Heavy Heavy Low Low
1,2008,James Holden
1,2008,Linkin Park
1,2008,Mercy Mercedes
1,2008,Moodswing
1,2008,Poets of the Fall
1,2008,Sugarplum Fairy
1,2008,The Fall of Every Season
1,2008,These Are Powers
1,2008,Trey Songz
1,2008,Valencia
1,2009,A Tribe Called Quest
1,2009,Benny Benassi
1,2009,Bryan Ferry
1,2009,Fila Brazillia
1,2009,Freddie Notes & The Rudies
1,2009,Gary Moore
1,2009,Gioacchino Rossini
1,2009,K.I.Z.
1,2009,Melt-Banana
1,2009,Mia Vermillion
1,2009,Peace Orchestra
1,2009,Phantogram
