occurences,year,artist
1232,2020,Down
1030,2020,Selena Gomez
406,2020,Supergrass
60,2020,Justin Bieber
14,2020,Dua Lipa
1,2020,5 Seconds of Summer
4836,2019,The Cure
4816,2019,Foo Fighters
4023,2019,Tunng
3164,2019,Tom Petty and The Heartbreakers
3016,2019,The Joy Formidable
2943,2019,Tiger Lou
1853,2019,August Burns Red
1335,2019,Beastie Boys
1146,2019,Enya
980,2019,America
796,2019,Dead Kennedys
658,2019,Lighthouse Family
591,2019,Soulfly
512,2019,Slum Village
492,2019,Khalid
466,2019,Post Malone
451,2019,Doja Cat
423,2019,Kelsey Lu
418,2019,The Stooges
332,2019,The Radio Dept.
293,2019,Red Velvet
154,2019,Vader
153,2019,Senses Fail
140,2019,Ariana Grande
131,2019,Tones And I
130,2019,Les Rita Mitsouko
129,2019,\u6d5c\u5d0e\u3042\u3086\u307f
120,2019,Clairo
116,2019,Joaqu\u00edn Sabina
101,2019,Allister
94,2019,The Cars
78,2019,Korn
76,2019,Lizzo
72,2019,Weyes Blood
64,2019,Petit biscuit
46,2019,Sam Smith
42,2019,Lil Tecca
42,2019,Nouvelle Vague
38,2019,Harry Styles
37,2019,Alessia Cara
34,2019,Dashboard Confessional
34,2019,Lana Del Rey
34,2019,Ochre
22,2019,BABYMETAL
18,2019,Big L
16,2019,Twenty One Pilots
14,2019,Kanye West
13,2019,BTS
9,2019,Zedd
8,2019,Billie Eilish
6,2019,Drake
4,2019,Caroline Polachek
3,2019,The Ataris
2,2019,Green River
2,2019,Tool
1,2019,FKA twigs
1,2019,No Doubt
7645,2018,Max Richter
4904,2018,Ra Ra Riot
4589,2018,Fleet Foxes
4224,2018,The Gaslight Anthem
2311,2018,The Residents
1921,2018,Pink Martini
1524,2018,Marilyn Manson
1485,2018,Low
1456,2018,CHVRCHES
1314,2018,The Animals
1253,2018,Nas
1231,2018,Scooter
1000,2018,Jill Scott
931,2018,Eluveitie
886,2018,Camila Cabello
760,2018,moumoon
649,2018,The Octopus Project
630,2018,2Pac
596,2018,Ariana Grande
571,2018,Lady Gaga
536,2018,Los Delinq\u00fcentes
504,2018,Alela Diane
498,2018,Death from Above 1979
484,2018,Steve Roach
470,2018,Whitechapel
420,2018,xxxtentacion
402,2018,ASIAN KUNG-FU GENERATION
392,2018,Dua Lipa
358,2018,Twenty One Pilots
347,2018,Little Mix
298,2018,Paradise Lost
297,2018,Dusty Springfield
273,2018,Toadies
