artist,genre,occurrences,track_name
Yann Tiersen,World,15797,La Dispute
Mariza,World,4740,Maria Lisboa
Tinariwen,World,3244,Tamatant Tilay
Balkan Beat Box,World,3120,Sunday Arak
Cesária Évora,World,2157,Tchintchirote
Salif Keita,World,2063,Tekere
Lebo M,World,1948,He Lives In You
Souad Massi,World,1736,Raoui
عمر دياب,World,1730,Nour El Ain
Oi Va Voi,World,1386,S'Brent
Kings of Leon,Rock,570134,Trunk
Coldplay,Rock,170525,Daylight
Modest Mouse,Rock,166119,Head South
Metric,Rock,157329,Breathing Underwater
Radiohead,Rock,152411,Feral
John Mayer,Rock,105176,Bigger Than My Body
The New Pornographers,Rock,102137,Daughters of Sorrow
The Smiths,Rock,97981,This Charming Man (New York Vocal)
Jack Johnson,Rock,94424,Crying Shame
Katherine Jenkins,Rock,91448,Bring Me To Life
Korn,RnB,37341,Word Up!
Alicia Keys,RnB,27437,Wait Til You See My Smile
Amy Winehouse,RnB,17722,Fuck Me Pumps
Sade,RnB,17137,Somebody Already Broke My Heart
John Legend,RnB,10461,Let's Get Lifted Again
Robin Thicke,RnB,10200,Ask Myself
Mayer Hawthorne,RnB,8956,A Strange Arrangement
Maxwell,RnB,7624,Playing Possum
Beyoncé,RnB,7312,Freakum Dress
Erykah Badu,RnB,7225,A.D. 2000
Fat Freddy's Drop,Reggae,11615,Boondigga
Damian Marley,Reggae,11335,Mi Blenda
Ska-P,Reggae,10449,Naval Xixon
Bedouin Soundclash,Reggae,8330,Gyasi Went Home
Slightly Stoopid,Reggae,8029,Mellow Mood
Ziggy Marley,Reggae,7424,Melancholy Mood
Seeed,Reggae,6642,Light The Sun
Matisyahu,Reggae,6556,Ancient Lullaby
Beenie Man,Reggae,6021,Girls Dem Sugar
Groundation,Reggae,5806,Don's Intro
Kid Cudi,Rap,120653,Alive (nightmare)
Eminem,Rap,106276,Like Toy Soldiers
Black Eyed Peas,Rap,70667,Ba Bump
Ice Cube,Rap,52472,It Was A Good Day
Dr. Dre,Rap,38869,Bitch Niggaz
Beastie Boys,Rap,26323,Hey Ladies
Slim Thug,Rap,26205,Like A Boss
Looptroop,Rap,21724,Don't Hate the Player
Jay-Z,Rap,20927,Hard Knock Life
Kanye West,Rap,18078,School Spirit Skit 2
Dropkick Murphys,Punk,20133,Going Strong
Descendents,Punk,19711,Christmas Vacation
The Clash,Punk,15741,The Street Parade
NOFX,Punk,15677,Cool And Unusual Punishment
Dead Kennedys,Punk,14652,Moon Over Marin
Misfits,Punk,11733,Theme for a Jackal
Gogol Bordello,Punk,9249,Zina-Marina
AFI,Punk,7016,This Celluloid Dream
Leftöver Crack,Punk,6477,Via Sin Dios
Four Year Strong,Punk,5890,"Heroes Get Remembered, Legends Never Die"
Justin Bieber,Pop,184234,Bigger
Lady Gaga,Pop,153527,Disco Heaven
The Barden Bellas,Pop,78443,Party In The U.S.A.
Third Eye Blind,Pop,54149,Never Let You Go
Shakira,Pop,48095,Dreams for Plans
Lily Allen,Pop,42035,Everything's Just Wonderful
Colbie Caillat,Pop,37900,Bubbly
Kelly Clarkson,Pop,34799,Just Missed the Train
Bungle,Pop,31672,Down To Earth
Ellie Goulding,Pop,27114,Salt Skin
Enya,New Age,97682,We Wish You a Merry Christmas
Enigma,New Age,23694,Odyssey of the Mind
Era,New Age,14474,Don't You Forget
Penguin Cafe Orchestra,New Age,5977,Pythagoras's Trousers
Eluveitie,New Age,5062,Epona
Secret Garden,New Age,4911,Poeme
Mike Oldfield,New Age,2746,Musica Universalis
Wolfgang Amadeus Mozart,New Age,2041,Benedictus
Ludovico Einaudi,New Age,2033,Melodia Africana III
Karunesh,New Age,1887,Morning Celebration
