occurences,year,artist
1232,2020,Down
1030,2020,Selena Gomez
406,2020,Supergrass
60,2020,Justin Bieber
14,2020,Dua Lipa
4836,2019,The Cure
4816,2019,Foo Fighters
4023,2019,Tunng
3164,2019,Tom Petty and The Heartbreakers
3016,2019,The Joy Formidable
7645,2018,Max Richter
4904,2018,Ra Ra Riot
4589,2018,Fleet Foxes
4224,2018,The Gaslight Anthem
2311,2018,The Residents
22195,2017,Leona Lewis
10928,2017,REO Speedwagon
7865,2017,Lifehouse
5062,2017,Eluveitie
4553,2017,Air
12593,2016,Deftones
9818,2016,We the Kings
9707,2016,Wheatus
7881,2016,Mayday Parade
6857,2016,Alesso
16493,2015,The Avett Brothers
14138,2015,Sikth
11459,2015,Weezer
10131,2015,Divinyls
8056,2015,Ludovico Einaudi
63937,2014,Owl City
62438,2014,Black Eyed Peas
55655,2014,Evanescence
52472,2014,Ice Cube
33178,2014,The Black Keys
38511,2013,A Perfect Circle
20511,2013,Black Eyed Peas
17438,2013,Anberlin
15224,2013,Parov Stelar
13742,2013,Radiohead
91448,2012,Katherine Jenkins
78443,2012,The Barden Bellas
62504,2012,Coldplay
46156,2012,Rise Against
37341,2012,Korn
32409,2011,Faith No More
30280,2011,The Mamas & the Papas
21535,2011,John Legend
20109,2011,Yellowcard
19876,2011,Angus & Julia Stone
217064,2010,Justin Bieber
111616,2010,Lady Gaga
111596,2010,Miss May I
87745,2010,John Mayer
87270,2010,Sabaton
120653,2009,Kid Cudi
98242,2009,Metric
97610,2009,A Day to Remember
72259,2009,David Guetta
63821,2009,The Prodigy
527922,2008,Kings of Leon
67475,2008,Fleet Foxes
48853,2008,Crystal Castles
45258,2008,Foals
37749,2008,The Black Keys
72263,2007,Bon Iver
55759,2007,Justice
50179,2007,Beirut
42805,2007,Arcade Fire
39852,2007,Boys Noize
72960,2006,Plain White T's
49655,2006,Arctic Monkeys
48513,2006,The Black Keys
38262,2006,Rise Against
34676,2006,Phoenix
54149,2005,Third Eye Blind
48235,2005,Arcade Fire
43111,2005,The Octopus Project
39282,2005,Pixies
38428,2005,Coldplay
130117,2004,Modest Mouse
41000,2004,The Black Keys
40702,2004,Guns N' Roses
28282,2004,Max Richter
27639,2004,Interpol
136836,2003,The Postal Service
37874,2003,Kings of Leon
35210,2003,The New Pornographers
31062,2003,Amy Winehouse
29730,2003,The Decemberists
64380,2002,The Black Keys
61069,2002,Eminem
36305,2002,Coldplay
